Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,86154,15664,452
c_benchmarks/clang-19595,65844,11332,285
c_benchmarks/clang-20680,101869,24517,377
c_benchmarks/clang-21467,118857,28907,455
c_benchmarks/clang-21582,123972,25012,1197
c_benchmarks/clang-22337,100901,25185,299
c_benchmarks/clang-22337,100901,42489,299
c_benchmarks/clang-22382,91085,11601,182
c_benchmarks/clang-22704,79256,49870,95
c_benchmarks/clang-23309,161630,54142,1085
c_benchmarks/clang-23353,147650,61023,144
c_benchmarks/clang-25900,106929,39481,478
c_benchmarks/clang-26350,120786,72997,391
c_benchmarks/clang-26760,72137,37413,321
c_benchmarks/clang-27137,259586,207071,582
c_benchmarks/clang-27747,41828,4468,299
c_benchmarks/clang-31259,114893,16977,556
c_benchmarks/gcc-58731,49485,8369,431
c_benchmarks/gcc-59903,116611,25965,545
c_benchmarks/gcc-60116,145520,24708,1281
c_benchmarks/gcc-60452,130664,40082,491
c_benchmarks/gcc-61047,81739,13086,495
c_benchmarks/gcc-61383,107985,22599,579
c_benchmarks/gcc-61917,93218,27399,293
c_benchmarks/gcc-64990,87913,65997,325
c_benchmarks/gcc-65383,100770,27974,246
c_benchmarks/gcc-66186,88978,22124,605
c_benchmarks/gcc-66375,169003,78050,1053
c_benchmarks/gcc-66412,130664,32524,491
c_benchmarks/gcc-66691,121346,18230,1076
c_benchmarks/gcc-70127,145450,73476,617
c_benchmarks/gcc-70586,127232,66155,792
c_benchmarks/gcc-71626,73801,1742,53
