Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,23559,7287,480
c_benchmarks/clang-19595,12348,6075,249
c_benchmarks/clang-20680,23069,10184,382
c_benchmarks/clang-21467,17642,7656,434
c_benchmarks/clang-21582,42212,5601,1014
c_benchmarks/clang-22337,15137,2450,357
c_benchmarks/clang-22382,13582,1020,188
c_benchmarks/clang-22704,9393,6416,91
c_benchmarks/clang-23309,28297,4229,1176
c_benchmarks/clang-23353,12182,2934,189
c_benchmarks/clang-25900,17909,2301,536
c_benchmarks/clang-26350,29873,11902,439
c_benchmarks/clang-26760,22311,4267,310
c_benchmarks/clang-27137,46667,21930,637
c_benchmarks/clang-27747,8983,1252,274
c_benchmarks/clang-31259,17243,3995,493
c_benchmarks/gcc-58731,10050,4881,414
c_benchmarks/gcc-59903,19779,3832,904
c_benchmarks/gcc-60116,44775,5008,1218
c_benchmarks/gcc-60452,21577,3028,909
c_benchmarks/gcc-61047,14179,1611,553
c_benchmarks/gcc-61383,18217,3042,490
c_benchmarks/gcc-61917,15161,2816,325
c_benchmarks/gcc-64990,15005,6351,462
c_benchmarks/gcc-65383,12618,2127,313
c_benchmarks/gcc-66186,26004,7393,571
c_benchmarks/gcc-66375,23992,9726,788
c_benchmarks/gcc-66412,42528,3902,1023
c_benchmarks/gcc-66691,22678,3456,1056
c_benchmarks/gcc-70127,34006,15319,693
c_benchmarks/gcc-70586,41970,12092,975
c_benchmarks/gcc-71626,3654,147,53
