Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,48812,9882,414
c_benchmarks/clang-19595,35358,7973,260
c_benchmarks/clang-20680,53971,13289,366
c_benchmarks/clang-21467,57083,12845,415
c_benchmarks/clang-21582,78232,13257,999
c_benchmarks/clang-22337,50009,16023,323
c_benchmarks/clang-22382,49027,5332,194
c_benchmarks/clang-22704,56482,31873,97
c_benchmarks/clang-23309,81470,23356,1075
c_benchmarks/clang-23353,86209,38212,153
c_benchmarks/clang-25900,50019,10486,346
c_benchmarks/clang-26350,70370,35172,369
c_benchmarks/clang-26760,43057,11487,229
c_benchmarks/clang-27137,116130,74903,545
c_benchmarks/clang-27747,24715,2684,244
c_benchmarks/clang-31259,69595,9863,594
c_benchmarks/gcc-58731,29903,5614,375
c_benchmarks/gcc-59903,70439,12006,734
c_benchmarks/gcc-60116,88968,13077,1137
c_benchmarks/gcc-60452,64366,13883,442
c_benchmarks/gcc-61047,48272,5803,505
c_benchmarks/gcc-61383,58981,10207,421
c_benchmarks/gcc-61917,48138,12531,311
c_benchmarks/gcc-64990,61233,36885,378
c_benchmarks/gcc-65383,52392,12296,217
c_benchmarks/gcc-66186,45864,10091,508
c_benchmarks/gcc-66375,82681,28445,740
c_benchmarks/gcc-66412,64366,13276,442
c_benchmarks/gcc-66691,79773,11607,1022
c_benchmarks/gcc-70127,67057,30417,576
c_benchmarks/gcc-70586,94101,43507,793
c_benchmarks/gcc-71626,17401,409,53
