Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,21787,6371,482
c_benchmarks/clang-19595,10557,5787,244
c_benchmarks/clang-20680,25769,9153,338
c_benchmarks/clang-21467,15312,6872,310
c_benchmarks/clang-21582,31069,4892,1089
c_benchmarks/clang-22337,14532,2090,301
c_benchmarks/clang-22382,10756,791,200
c_benchmarks/clang-22704,8727,5268,90
c_benchmarks/clang-23309,31941,4249,1089
c_benchmarks/clang-23353,11025,2814,218
c_benchmarks/clang-25900,22325,2206,471
c_benchmarks/clang-26350,31162,11673,455
c_benchmarks/clang-26760,18206,2901,276
c_benchmarks/clang-27137,33660,18724,661
c_benchmarks/clang-27747,10574,1035,302
c_benchmarks/clang-31259,20490,5307,571
c_benchmarks/gcc-58731,7481,3428,368
c_benchmarks/gcc-59903,26201,5217,410
c_benchmarks/gcc-60116,27815,4083,889
c_benchmarks/gcc-60452,16368,2164,495
c_benchmarks/gcc-61047,19548,2180,512
c_benchmarks/gcc-61383,26620,3505,514
c_benchmarks/gcc-61917,13227,2494,300
c_benchmarks/gcc-64990,13983,8388,467
c_benchmarks/gcc-65383,11592,1800,275
c_benchmarks/gcc-66186,24122,6681,503
c_benchmarks/gcc-66375,33444,11403,813
c_benchmarks/gcc-66412,16368,2278,495
c_benchmarks/gcc-66691,30987,5625,1039
c_benchmarks/gcc-70127,20033,11445,635
c_benchmarks/gcc-70586,36039,11363,763
c_benchmarks/gcc-71626,3143,104,53
