Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,5317,4985,260
c_benchmarks/clang-19595,3821,4073,156
c_benchmarks/clang-20680,11682,19090,533
c_benchmarks/clang-21467,6202,6240,177
c_benchmarks/clang-21582,10081,7291,559
c_benchmarks/clang-22337,6731,2986,236
c_benchmarks/clang-22382,5193,887,144
c_benchmarks/clang-22704,5834,5627,78
c_benchmarks/clang-23309,8330,2995,475
c_benchmarks/clang-23353,7321,3868,98
c_benchmarks/clang-25900,5293,2690,252
c_benchmarks/clang-26350,9470,9494,189
c_benchmarks/clang-26760,4188,4543,91
c_benchmarks/clang-27137,9656,14322,268
c_benchmarks/clang-27747,4077,2160,117
c_benchmarks/clang-31259,4985,3134,384
c_benchmarks/gcc-58731,5343,3389,213
c_benchmarks/gcc-59903,7726,4815,497
c_benchmarks/gcc-60116,9692,3177,443
c_benchmarks/gcc-60452,7780,2544,350
c_benchmarks/gcc-61047,3588,1082,266
c_benchmarks/gcc-61383,6352,3070,271
c_benchmarks/gcc-61917,6352,2414,142
c_benchmarks/gcc-64990,6558,5216,239
c_benchmarks/gcc-65383,4414,1593,153
c_benchmarks/gcc-66186,5320,2939,327
c_benchmarks/gcc-66375,6718,4114,440
c_benchmarks/gcc-66412,7778,2642,350
c_benchmarks/gcc-66691,9467,3671,746
c_benchmarks/gcc-70127,5528,4511,301
c_benchmarks/gcc-70586,7459,6998,197
c_benchmarks/gcc-71626,1007,50,51
