Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,3924,4946,266
c_benchmarks/clang-19595,2734,4199,156
c_benchmarks/clang-20680,14275,37752,524
c_benchmarks/clang-21467,4990,6183,177
c_benchmarks/clang-21582,8313,5487,559
c_benchmarks/clang-22337,5262,1709,236
c_benchmarks/clang-22382,3491,473,144
c_benchmarks/clang-22704,4061,2911,78
c_benchmarks/clang-23309,6427,1638,464
c_benchmarks/clang-23353,5133,1361,203
c_benchmarks/clang-25900,3652,1010,239
c_benchmarks/clang-26350,5949,5559,270
c_benchmarks/clang-26760,3135,2007,116
c_benchmarks/clang-27137,6178,7372,179
c_benchmarks/clang-27747,2535,1056,117
c_benchmarks/clang-31259,3774,2223,406
c_benchmarks/gcc-58731,2944,2783,227
c_benchmarks/gcc-59903,5436,3675,308
c_benchmarks/gcc-60116,6336,2195,437
c_benchmarks/gcc-60452,5848,1627,347
c_benchmarks/gcc-61047,2602,793,268
c_benchmarks/gcc-61383,5382,2447,297
c_benchmarks/gcc-61917,4539,1856,143
c_benchmarks/gcc-64990,4994,3494,239
c_benchmarks/gcc-65383,3075,1158,153
c_benchmarks/gcc-66186,4169,2684,327
c_benchmarks/gcc-66375,5051,3419,440
c_benchmarks/gcc-66412,5934,1732,347
c_benchmarks/gcc-66691,6914,3218,603
c_benchmarks/gcc-70127,3968,3379,301
c_benchmarks/gcc-70586,5939,5866,208
c_benchmarks/gcc-71626,740,45,51
