Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,4895,4885,260
c_benchmarks/clang-19595,3561,3977,156
c_benchmarks/clang-20680,8032,12727,525
c_benchmarks/clang-21467,5780,6197,177
c_benchmarks/clang-21582,9720,7156,559
c_benchmarks/clang-22337,6197,2757,236
c_benchmarks/clang-22382,4907,879,144
c_benchmarks/clang-22704,5350,5155,78
c_benchmarks/clang-23309,7898,3266,475
c_benchmarks/clang-23353,6129,3005,98
c_benchmarks/clang-25900,4795,2248,252
c_benchmarks/clang-26350,7711,9418,189
c_benchmarks/clang-26760,3823,3989,91
c_benchmarks/clang-27137,8713,13094,268
c_benchmarks/clang-27747,3299,1464,117
c_benchmarks/clang-31259,4605,2964,384
c_benchmarks/gcc-58731,4805,3325,213
c_benchmarks/gcc-59903,7275,4231,382
c_benchmarks/gcc-60116,9043,3252,443
c_benchmarks/gcc-60452,7154,2412,350
c_benchmarks/gcc-61047,3296,1024,266
c_benchmarks/gcc-61383,5608,3187,274
c_benchmarks/gcc-61917,5474,2032,142
c_benchmarks/gcc-64990,6184,4403,239
c_benchmarks/gcc-65383,3993,1420,153
c_benchmarks/gcc-66186,5084,2864,327
c_benchmarks/gcc-66375,6369,3987,440
c_benchmarks/gcc-66412,7153,2421,350
c_benchmarks/gcc-66691,8008,3553,602
c_benchmarks/gcc-70127,5151,4279,301
c_benchmarks/gcc-70586,7542,7779,367
c_benchmarks/gcc-71626,1016,53,51
