Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,3884,4664,260
c_benchmarks/clang-19595,2783,4162,156
c_benchmarks/clang-20680,6100,7317,537
c_benchmarks/clang-21467,4983,5951,177
c_benchmarks/clang-21582,8363,5475,559
c_benchmarks/clang-22337,5198,1648,250
c_benchmarks/clang-22382,3498,460,144
c_benchmarks/clang-22704,3893,5427,72
c_benchmarks/clang-23309,6522,1506,483
c_benchmarks/clang-23353,4519,1240,98
c_benchmarks/clang-25900,3558,970,252
c_benchmarks/clang-26350,5838,5046,241
c_benchmarks/clang-26760,2884,1922,90
c_benchmarks/clang-27137,6729,7992,268
c_benchmarks/clang-27747,2610,1027,150
c_benchmarks/clang-31259,3691,2200,384
c_benchmarks/gcc-58731,2532,2779,213
c_benchmarks/gcc-59903,5186,3020,300
c_benchmarks/gcc-60116,5996,2092,404
c_benchmarks/gcc-60452,5811,1656,350
c_benchmarks/gcc-61047,2620,799,266
c_benchmarks/gcc-61383,4352,2759,274
c_benchmarks/gcc-61917,4230,1386,142
c_benchmarks/gcc-64990,4838,3342,239
c_benchmarks/gcc-65383,3105,1113,153
c_benchmarks/gcc-66186,4148,2603,327
c_benchmarks/gcc-66375,4952,3105,440
c_benchmarks/gcc-66412,5803,1686,350
c_benchmarks/gcc-66691,6939,3184,603
c_benchmarks/gcc-70127,3796,3234,301
c_benchmarks/gcc-70586,6276,5394,197
c_benchmarks/gcc-71626,761,46,51
