Benchmark,len(list_before_reduction),len(list_after_reduction),kendall_corr,kendall_p_value,spearman_corr,spearman_p_value
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,178,142,-0.10088459291087017,0.32679198360809336,-0.12124190522553027,0.3779063227780377
gcc-65383,420,420,nan,nan,nan,nan
gcc-65383,755,523,-0.1780318277593411,0.13645220138204817,-0.2294565309345863,0.13405605406051768
gcc-65383,667,451,0.23208822683576688,0.023491850360408746,0.310880749938103,0.019697589151470563
gcc-65383,299,288,-0.1907567565296838,0.22894788064616978,-0.23221548368826084,0.23440577801523105
gcc-65383,395,350,-0.32697669066255436,0.0488035008511826,-0.4522585073130974,0.026495447564564904
gcc-65383,239,209,-0.05582905262390824,0.7319512600487054,-0.05976872689925609,0.7765655087836597
gcc-65383,126,115,-0.035780268249652206,0.8503997612438293,-0.03319314587753389,0.8895104937596692
gcc-65383,105,70,0.1144702942944678,0.5164835977979695,0.11017748937118547,0.6437841749500539
gcc-65383,77,60,-0.07608977586438825,0.6651799120073967,-0.12871693878325638,0.5781710382763934
gcc-65383,67,65,0.02360960823249428,0.9217611027538614,0.04367853486341326,0.8873307292708181
gcc-65383,63,40,0.011922516965940004,0.9558543838132213,0.013852290962591014,0.9609215853516749
gcc-65383,34,30,-0.4733646312031287,0.1111029942419611,-0.59336610396393,0.09212027344886972
gcc-65383,27,26,0.1178511301977579,0.6985353583033387,0.13693063937629152,0.7253691359545553
gcc-65383,45,37,-0.5976143046671968,0.16551785869746993,-0.7826237921249264,0.11761376087345808
gcc-65383,11,7,-0.7071067811865477,0.17971249487899976,-0.7745966692414834,0.22540333075851657
gcc-65383,7,5,-0.4303314829119352,0.2595442224038744,-0.5408987230262506,0.26777767151474974
gcc-65383,8,8,nan,nan,nan,nan
gcc-65383,6,6,nan,nan,nan,nan
gcc-65383,7,6,-0.31622776601683794,0.4795001221869535,-0.35355339059327373,0.5594043441634877
gcc-65383,6,6,nan,nan,nan,nan
gcc-65383,7,7,nan,nan,nan,nan
gcc-65383,13,11,0.18257418583505539,0.7179816667337766,0.316227766016838,0.683772233983162
gcc-65383,9,9,nan,nan,nan,nan
gcc-65383,8,8,nan,nan,nan,nan
gcc-65383,8,5,-1.0,0.3333333333333333,-1.0,0.0
gcc-65383,6,4,-1.0,1.0,-0.9999999999999999,nan
gcc-65383,2,2,nan,nan,nan,nan
gcc-65383,2,1,-1.0,1.0,-0.9999999999999999,nan
gcc-65383,3,1,-1.0,1.0,-0.9999999999999999,nan
gcc-65383,2,1,-1.0,1.0,-0.9999999999999999,nan
gcc-65383,2,2,nan,nan,nan,nan
gcc-65383,2,2,nan,nan,nan,nan
gcc-65383,2,1,-1.0,1.0,-0.9999999999999999,nan
gcc-65383,2,2,nan,nan,nan,nan
gcc-65383,2,2,nan,nan,nan,nan
gcc-65383,2,1,-1.0,1.0,-0.9999999999999999,nan
gcc-65383,2,2,nan,nan,nan,nan
gcc-65383,2,2,nan,nan,nan,nan
gcc-65383,3,1,-1.0,1.0,-0.9999999999999999,nan
gcc-65383,2,2,nan,nan,nan,nan
gcc-65383,2,2,nan,nan,nan,nan
gcc-65383,2,1,-1.0,1.0,-0.9999999999999999,nan
gcc-65383,2,2,nan,nan,nan,nan
gcc-65383,2,2,nan,nan,nan,nan
gcc-65383,2,1,-1.0,1.0,-0.9999999999999999,nan
gcc-65383,2,1,-1.0,1.0,-0.9999999999999999,nan
gcc-65383,3,1,-1.0,1.0,-0.9999999999999999,nan
gcc-65383,2,2,nan,nan,nan,nan
gcc-65383,4,2,-1.0,1.0,-0.9999999999999999,nan
gcc-65383,2,2,nan,nan,nan,nan
gcc-65383,2,1,-1.0,1.0,-0.9999999999999999,nan
