Benchmark,len(list_before_reduction),len(list_after_reduction),kendall_corr,kendall_p_value,spearman_corr,spearman_p_value
gcc-65383,178,142,-0.10088459291087017,0.32679198360809336,-0.12124190522553027,0.3779063227780377
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,53,1,0.3162277660168379,0.09945347974830879,0.37796447300922725,0.10036562194728639
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,20,7,0.16037507477489604,0.5753530764008791,0.15959855297967943,0.6816910090053467
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,20,10,-0.3208444739598739,0.31063545633740075,-0.4536323543632775,0.25892259976927706
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,17,5,-0.13874918701886407,0.5958830905651777,-0.18856946083192144,0.57870428457706
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,74,1,0.3571428571428571,0.27523352407483426,0.41239304942116123,0.30995873550624103
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,5,4,-0.7071067811865477,0.17971249487899976,-0.7745966692414834,0.22540333075851657
gcc-65383,7,3,-0.18257418583505539,0.7179816667337766,-0.316227766016838,0.683772233983162
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,11,7,-0.3704792868174742,0.2663799233424825,-0.41166465371081584,0.3588165126964101
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,2,2,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,5,1,0.816496580927726,0.22067136191984693,0.8660254037844387,0.3333333333333332
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,3,2,-0.816496580927726,0.22067136191984693,-0.8660254037844387,0.3333333333333332
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,3,3,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,3,3,nan,nan,nan,nan
gcc-65383,3,3,nan,nan,nan,nan
gcc-65383,3,3,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,2,2,nan,nan,nan,nan
gcc-65383,3,3,nan,nan,nan,nan
gcc-65383,2,2,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,5,3,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,4,3,nan,nan,nan,nan
gcc-65383,4,3,nan,nan,nan,nan
gcc-65383,4,3,nan,nan,nan,nan
gcc-65383,4,3,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,2,2,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,3,3,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,3,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
gcc-65383,1,1,nan,nan,nan,nan
