Benchmark,len(list_before_reduction),len(list_after_reduction),kendall_corr,kendall_p_value,spearman_corr,spearman_p_value
xml-4c99b96-14,3,2,nan,nan,nan,nan
xml-4c99b96-14,2,2,nan,nan,nan,nan
xml-4c99b96-14,2,2,nan,nan,nan,nan
xml-f053486-1,3,2,nan,nan,nan,nan
xml-f053486-1,2,2,nan,nan,nan,nan
xml-4c99b96-15,8,2,nan,nan,nan,nan
xml-4c99b96-15,2,2,nan,nan,nan,nan
xml-4c99b96-15,2,2,nan,nan,nan,nan
xml-1e9bc83-8,4,2,-0.8164965809277261,0.12133525035848208,-0.8944271909999159,0.10557280900008414
xml-1e9bc83-8,7,2,0.13801311186847084,0.6985353583033387,0.15811388300841897,0.7349201962234642
xml-1e9bc83-8,6,2,nan,nan,nan,nan
xml-1e9bc83-8,4,1,nan,nan,nan,nan
xml-1e9bc83-8,2,2,nan,nan,nan,nan
xml-1e9bc83-8,2,2,nan,nan,nan,nan
xml-1e9bc83-8,2,2,nan,nan,nan,nan
xml-1e9bc83-8,1,1,nan,nan,nan,nan
xml-1e9bc83-8,3,3,nan,nan,nan,nan
xml-1e9bc83-8,2,2,nan,nan,nan,nan
xml-1e9bc83-8,1,1,nan,nan,nan,nan
xml-1e9bc83-1,3,2,0.816496580927726,0.22067136191984693,0.8660254037844387,0.3333333333333332
xml-1e9bc83-1,5,1,nan,nan,nan,nan
xml-1e9bc83-1,2,2,nan,nan,nan,nan
xml-1e9bc83-1,1,1,nan,nan,nan,nan
xml-1e9bc83-6,6,2,-0.7302967433402213,0.0640775064510595,-0.8280786712108252,0.04179468045604518
xml-1e9bc83-6,3,3,nan,nan,nan,nan
xml-1e9bc83-6,6,2,nan,nan,nan,nan
xml-1e9bc83-6,5,1,nan,nan,nan,nan
xml-1e9bc83-6,4,1,nan,nan,nan,nan
xml-1e9bc83-6,1,1,nan,nan,nan,nan
xml-1e9bc83-6,2,2,nan,nan,nan,nan
xml-1e9bc83-6,3,3,nan,nan,nan,nan
xml-1e9bc83-6,2,2,nan,nan,nan,nan
xml-1e9bc83-6,1,1,nan,nan,nan,nan
xml-1e9bc83-6,1,1,nan,nan,nan,nan
xml-1e9bc83-6,1,1,nan,nan,nan,nan
xml-1e9bc83-6,2,2,nan,nan,nan,nan
xml-1e9bc83-6,3,3,nan,nan,nan,nan
xml-1e9bc83-6,2,2,nan,nan,nan,nan
xml-1e9bc83-6,1,1,nan,nan,nan,nan
xml-1e9bc83-6,1,1,nan,nan,nan,nan
xml-1e9bc83-6,1,1,nan,nan,nan,nan
xml-1e9bc83-7,3,1,-0.816496580927726,0.22067136191984693,-0.8660254037844387,0.3333333333333332
xml-1e9bc83-7,7,2,-0.41403933560541256,0.2452781168067728,-0.474341649025257,0.28217985903005033
xml-1e9bc83-7,2,2,nan,nan,nan,nan
xml-1e9bc83-7,3,2,0.0,1.0,0.0,1.0
xml-1e9bc83-7,7,1,nan,nan,nan,nan
xml-1e9bc83-7,3,1,nan,nan,nan,nan
xml-1e9bc83-7,3,1,nan,nan,nan,nan
xml-1e9bc83-7,2,1,nan,nan,nan,nan
xml-1e9bc83-7,2,2,nan,nan,nan,nan
xml-1e9bc83-7,2,2,nan,nan,nan,nan
xml-1e9bc83-7,2,2,nan,nan,nan,nan
xml-1e9bc83-7,1,1,nan,nan,nan,nan
